rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1552833737679643252,,1181,,1552833737,467287741,'',2,"""/record_1552833737460003808""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739290087332,,1182,,1552833739,161514065,'',2,"""/crazyflie_server""","""Found variables in cache.""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""info""",65,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739426456589,,1183,,1552833739,426227092,'',2,"""/crazyflie_server""","""Requesting Logging variables...""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""run""",478,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739429463104,,1184,,1552833739,429266266,'',4,"""/crazyflie_server""","""Don't know ack","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""warning""",70,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739436384097,,1185,,1552833739,434075656,'',2,"""/crazyflie_server""","""Found variables in cache.""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""info""",65,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739471999474,,1186,,1552833739,471720317,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/rssi""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739478227837,,1187,,1552833739,477927011,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/log_rpy""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739483976915,,1188,,1552833739,483629135,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/log_pos""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739490557179,,1189,,1552833739,490299640,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/packets""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739496838101,,1190,,1552833739,496542259,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/log_sensors""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739501929921,,1191,,1552833739,501626697,'',2,"""/record_1552833737460003808""","""Subscribing to /cf1/log_ranges""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1552833739508784352,,1192,,1552833739,508381445,'',2,"""/crazyflie_server""","""Requesting memories...""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""run""",539,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739516164931,,1193,,1552833739,515861520,'',2,"""/crazyflie_server""","""Memories","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""info""",65,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739532751654,,1194,,1552833739,532274732,'',2,"""/crazyflie_server""","""Ready...""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""run""",542,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739532763706,,1195,,1552833739,532340788,'',2,"""/crazyflie_server""","""Elapsed","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""run""",545,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739981002577,,1196,,1552833739,980602491,'',2,"""/crazyflie_server""","""Update parameters""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""updateParams""",277,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833739998265703,,1197,,1552833739,986510992,'',2,"""/array_logging""","""tf lookup -- cf1 not found""","""array_broadcaster_rotem.py""","""handle_pose""",140,"[/cf1/points/back_WC, /cf1/log_ranges, /cf1/points/right_WC, /cf1/log_rpy, /array_recording,"
1552833739998988858,,1198,,1552833739,987122058,'',2,"""/points_publisher""","""\""world\"" passed to lookupTransform argument target_frame does not exist. ""","""publish_point.py""","""get_ranges""",31,"[/cf1/points/back_WC, /cf1/points/left_WC, /cf1/points/front, /cf1/points/left, /rosout,"
1552833740001335005,,1199,,1552833740,867298,'',2,"""/crazyflie_server""","""Update parameters""","""/home/user/catkin_ws/src/crazyflie_ros/crazyflie_driver/src/crazyflie_server.cpp""","""updateParams""",277,"[/rosout, /cf1/packets, /cf1/rssi, /cf1/log_pos, /cf1/log_rpy, /cf1/log_ranges, /cf1/log_sensors]"
1552833740007454186,,1200,,1552833740,6453037,'',2,"""/array_logging""","""tf lookup -- cf1 not found""","""array_broadcaster_rotem.py""","""handle_pose""",140,"[/cf1/points/back_WC, /cf1/log_ranges, /cf1/points/right_WC, /cf1/log_rpy, /array_recording,"
1552833740011262255,,1201,,1552833740,10545969,'',2,"""/points_publisher""","""\""world\"" passed to lookupTransform argument target_frame does not exist. ""","""publish_point.py""","""get_ranges""",31,"[/cf1/points/back_WC, /cf1/points/left_WC, /cf1/points/front, /cf1/points/left, /rosout,"
1552833740027297002,,1202,,1552833740,26460886,'',2,"""/array_logging""","""tf lookup -- cf1 not found""","""array_broadcaster_rotem.py""","""handle_pose""",140,"[/cf1/points/back_WC, /cf1/log_ranges, /cf1/points/right_WC, /cf1/log_rpy, /array_recording,"
