rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1551189616405762075,,0,,1551189616,405421444,"""cf1/base_link""","[1.0, -1.0, 0.0]"
1551189616425524169,,1,,1551189616,425417794,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616446383453,,2,,1551189616,446209975,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616464796559,,3,,1551189616,464677904,"""cf1/base_link""","[-1.0, 0.0, 0.0]"
1551189616485372394,,4,,1551189616,485204122,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189616505790181,,5,,1551189616,505669742,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616532164619,,6,,1551189616,531944475,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616548268816,,7,,1551189616,548107946,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189616565738555,,8,,1551189616,565555539,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189616587316686,,9,,1551189616,586975831,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616607549414,,10,,1551189616,607168319,"""cf1/base_link""","[-1.0, 0.0, 0.0]"
1551189616626842015,,11,,1551189616,626567067,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189616646085849,,12,,1551189616,645824100,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616667836595,,13,,1551189616,667538998,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189616687045834,,14,,1551189616,686796322,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616707179447,,15,,1551189616,706895753,"""cf1/base_link""","[0.0, -1.0, 0.0]"
1551189616725587873,,16,,1551189616,725312921,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189616746870884,,17,,1551189616,746479407,"""cf1/base_link""","[-1.0, -1.0, 0.0]"
1551189616766338640,,18,,1551189616,765769901,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616793907270,,19,,1551189616,793689946,"""cf1/base_link""","[-1.0, 1.0, 0.0]"
1551189616808282241,,20,,1551189616,807936549,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189616826258893,,21,,1551189616,825898958,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616846938028,,22,,1551189616,846530119,"""cf1/base_link""","[1.0, 1.0, 0.0]"
1551189616865172850,,23,,1551189616,864920633,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189616885668314,,24,,1551189616,885289942,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189616914816541,,25,,1551189616,914497485,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616929551029,,26,,1551189616,929039130,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189616945706209,,27,,1551189616,945306012,"""cf1/base_link""","[-1.0, 0.0, 0.0]"
1551189616965724917,,28,,1551189616,965332625,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189616985816797,,29,,1551189616,985501254,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617006017951,,30,,1551189617,5646131,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617025976030,,31,,1551189617,25629404,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617050868583,,32,,1551189617,50495410,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189617065097537,,33,,1551189617,64843703,"""cf1/base_link""","[0.0, -1.0, 0.0]"
1551189617085074318,,34,,1551189617,84776203,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617105231123,,35,,1551189617,104939518,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617127349356,,36,,1551189617,127077329,"""cf1/base_link""","[-2.0, 0.0, 0.0]"
1551189617145671726,,37,,1551189617,145347314,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189617176364531,,38,,1551189617,176012332,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617190771428,,39,,1551189617,190415244,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189617204984248,,40,,1551189617,204702486,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189617225089901,,41,,1551189617,224726261,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617245400792,,42,,1551189617,245026597,"""cf1/base_link""","[0.0, -1.0, 0.0]"
1551189617263623018,,43,,1551189617,263301836,"""cf1/base_link""","[0.0, -1.0, 0.0]"
1551189617284048908,,44,,1551189617,283631396,"""cf1/base_link""","[1.0, 0.0, 0.0]"
1551189617312798071,,45,,1551189617,312504909,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617327132385,,46,,1551189617,326782866,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617343351320,,47,,1551189617,343025255,"""cf1/base_link""","[0.0, 1.0, 0.0]"
1551189617363361997,,48,,1551189617,363138157,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617383773042,,49,,1551189617,383454620,"""cf1/base_link""","[-1.0, 0.0, 0.0]"
1551189617404015874,,50,,1551189617,403721194,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617432692490,,51,,1551189617,432411280,"""cf1/base_link""","[0.0, 0.0, 0.0]"
1551189617446769726,,52,,1551189617,446421260,"""cf1/base_link""","[-1.0, 0.0, 0.0]"
1551189617465038653,,53,,1551189617,464630250,"""cf1/base_link""","[1.0, 0.0, 0.0]"
